Training,Valid,Test
602.379980530293,630.972230331468,832.272811770049
686.577154739502,452.259510253607,547.149273341332
542.990559621214,692.186953650381,874.809119026432
576.343583982766,946.301805310125,397.62426402609
500.061727645162,590.723646515381,799.864800078861
592.087778271938,810.442591847542,844.829812073342
475.864967325505,656.229951580616,466.052898676638
370.431702937155,491.459155814029,2843.64945557045
378.359187554003,588.477866548803,731.187071147527
451.914714280307,492.770976409508,581.783784758605
415.15855301283,521.751307426777,384.197903050821
310.721988513611,1099.89322680677,1024.6267186944
359.891434999109,871.873305788403,666.419279004186
462.516023831433,499.263636944104,565.745667322916
437.719232925987,705.714548097784,405.171655355748
467.116428749658,682.629435527469,1181.54138609819
341.180721116313,482.425039283538,1792.00425737113
387.755483677414,502.700134670336,521.727270298491
372.754600689685,1211.2326339896,693.091224186271
295.347908304786,917.428553189161,2301.06528961774
605.39158607277,2138.93524158341,808.640971561269
413.184649936147,505.711938241981,1069.29642882453
371.5059128809,793.840387137486,800.187171120106
499.51599004703,433.903662675305,448.644381093974
413.074445856127,370.574270227237,1173.89493923906

582.395765136504,538.322859426664,927.656863056619
633.114030800199,701.083870434719,560.963835286797
607.210948287026,816.188581046032,528.94239158615
496.861457692102,437.136069448869,545.164486092333
511.440788673285,367.21373563945,686.63850136418
608.375166010063,356.962274363928,458.039518060929
517.559825924048,548.700810224121,558.915563182533
556.314189994476,413.965905631035,486.88610042876
504.697988902801,810.704070538783,583.060521645303
437.644164088556,1263.48777776286,564.843686809035
459.744790826733,667.888132925739,590.217700965526
460.234057741888,639.242105883165,405.128931378323
475.022118985548,528.499523435583,1873.80040526265
446.395305855907,769.017900140605,457.337448381084
432.423182568396,1090.61480941536,698.119236376633
331.447062690951,509.218314052033,712.719229904302
363.039154538706,551.560251787051,789.529581453149
446.740957144224,768.106453598575,696.422547429447
323.15004447992,514.789223806182,659.643139006848
410.350014250326,476.646869234009,617.170121884694
510.2767384798,514.232536939491,436.29367855215
338.427341783736,579.278093827886,783.820491424282
324.423400406749,639.68992367621,887.10992514515
449.125917110549,566.25751896776,554.071248872968
402.464009744764,1151.81459445614,442.609581774212

668.876661426649,713.11683159715,673.239771000635
684.747571610901,609.681043605268,590.397773064997
500.229832086297,423.921985998598,659.207674273478
476.73731731094,389.094044695781,505.502131360813
501.276853241771,749.697319495859,493.445257445314
466.432838123245,545.0424945889,1007.76023647084
505.323648699874,953.189979190926,411.412120207086
543.65316532746,762.1709918409,616.299192830481
493.267388868497,784.5876580288,715.229951900087
436.077984157078,408.442400791127,316.863345900375
523.269578029701,421.62781783564,501.105696912756
453.750217250337,453.612762925226,442.820386995357
403.177192908504,374.721092400621,888.108212019785
321.727819159562,1012.90837029982,556.484094497815
440.164319430218,430.918662930935,843.922332701066
371.419636447542,569.980630901236,463.305119700996
374.851306873725,513.115503919131,1194.79134177112
519.11417737553,587.608394481594,369.04894040818
486.181964031607,631.141530247735,608.541213677679
513.718305927379,494.629069140662,630.379081197599
334.165852724127,415.787301371641,1893.1759143074
378.7515239662,539.377673811626,652.494761282887
377.383089023223,765.162705635204,538.059171415038
461.565487580812,351.644686335681,417.002237378706
393.372587794504,490.155868421571,618.745301060063

